id,Service,Duration,Place,Status
273945,1,0,,0
273946,1,0,,0
273947,1,0,,0
273948,1,0,,0
273949,1,0,,0
273950,1,0,,0
273951,1,0,,0
273952,1,0,,0
273953,1,0,,0
273954,1,0,,0
273955,1,0,,0
273956,1,0,,0
273957,1,0,,0
273958,1,0,,0
273959,1,0,,0
273960,1,0,,0
273961,1,0,,0
273962,1,0,,0
273963,1,0,,0
273964,1,0,,0
273965,1,0,,0
273966,1,0,,0
273967,1,0,,0
273968,1,0,,0
273969,1,0,,0
273970,1,0,,0
273971,1,0,,0
273972,1,0,,0
273973,1,0,,0
273974,1,0,,0
273975,1,0,,0
273976,1,0,,0
273977,1,0,,0
273978,1,0,,0
273979,1,0,,0
273980,1,0,,0
273981,1,0,,0
273982,1,0,,0
273983,1,0,,0
273984,1,0,,0
273985,1,0,,0
273986,1,0,,0
273987,1,0,,0
273988,1,0,,0
273989,1,0,,0
273990,1,0,,0
273991,1,0,,0
273992,1,0,,0
273993,1,0,,0
273994,1,0,,0
273995,1,0,,0
273996,1,0,,0
273997,1,0,,0
273998,1,0,,0
273999,1,0,,0
274000,1,0,,0
274001,1,0,,0
274002,1,0,,0
274003,1,0,,0
274004,1,0,,0
274005,1,0,,0
274006,1,0,,0
274007,1,0,,0
274008,1,0,,0
274009,1,0,,0
274010,1,0,,0
274011,1,0,,0
274012,1,0,,0
274013,1,0,,0
274014,1,0,,0
274015,1,0,,0
274016,1,0,,0
274017,1,0,,0
274018,1,0,,0
274019,1,0,,0
274020,1,0,,0
274021,1,0,,0
274022,1,0,,0
274023,1,0,,0
274024,1,0,,0
274025,1,0,,0
274026,1,0,,0
274027,1,0,,0
274028,1,0,,0
274029,1,0,,0
274030,1,0,,0
274031,1,0,,0
274032,1,0,,0
274033,1,0,,0
274034,1,0,,0
274035,1,0,,0
274036,1,0,,0
274037,1,0,,0
274038,1,0,,0
274039,1,0,,0
274040,1,0,,0
274041,1,0,,0
274042,1,0,,0
274043,1,0,,0
274044,1,0,,0
274045,1,0,,0
274046,1,0,,0
274047,1,0,,0
274048,1,0,,0
274049,1,0,,0
274050,1,0,,0
274051,1,0,,0
274052,1,0,,0
274053,1,0,,0
274054,1,0,,0
274055,1,0,,0
274056,1,0,,0
274057,1,0,,0
274058,1,0,,0
274059,1,0,,0
274060,1,0,,0
274061,1,0,,0
274062,1,0,,0
274063,1,0,,0
274064,1,0,,0
274065,1,0,,0
274066,1,0,,0
274067,1,0,,0
274068,1,0,,0
274069,1,0,,0
274070,1,0,,0
274071,1,0,,0
274072,1,0,,0
274073,1,0,,0
274074,1,0,,0
274075,1,0,,0
274076,1,0,,0
274077,1,0,,0
274078,1,0,,0
274079,1,0,,0
274080,1,0,,0
274081,1,0,,0
274082,1,0,,0
274083,1,0,,0
274084,1,0,,0
274085,1,0,,0
274086,1,0,,0
274087,1,0,,0
